rsid	chrom	pos	symbol	gene_description	disease_names	rev_stat	sig	clinvar_id	source	text
rs440446	chr19	44905910	APOE	The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants. [provided by RefSeq, Jun 2016]	not specified	no assertion criteria provided	Benign	1175067	https://www.ncbi.nlm.nih.gov/clinvar/variation/1175067	rs440446 is located in chr19 chromosome with position 44905910 which is in the gene APOE. This gene has the following description: The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants. [provided by RefSeq, Jun 2016] This SNP can be associated with not specified. Those associations have Benign clinical significance and have review status: no assertion criteria provided. rs440446has the following disease references: MedGen:CN169374. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1175067
rs769449	chr19	44906745	APOE	The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants. [provided by RefSeq, Jun 2016]	not provided	criteria provided, single submitter	Benign	1264941	https://www.ncbi.nlm.nih.gov/clinvar/variation/1264941	rs769449 is located in chr19 chromosome with position 44906745 which is in the gene APOE. This gene has the following description: The protein encoded by this gene is a major apoprotein of the chylomicron. It binds to a specific liver and peripheral cell receptor, and is essential for the normal catabolism of triglyceride-rich lipoprotein constituents. This gene maps to chromosome 19 in a cluster with the related apolipoprotein C1 and C2 genes. Mutations in this gene result in familial dysbetalipoproteinemia, or type III hyperlipoproteinemia (HLP III), in which increased plasma cholesterol and triglycerides are the consequence of impaired clearance of chylomicron and VLDL remnants. [provided by RefSeq, Jun 2016] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs769449has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1264941
rs9923854	chr16	56983090	CETP	The protein encoded by this gene is found in plasma, where it is involved in the transfer of cholesteryl ester from high density lipoprotein (HDL) to other lipoproteins. Defects in this gene are a cause of hyperalphalipoproteinemia 1 (HALP1). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2013]	not provided	criteria provided, single submitter	Benign	1222632	https://www.ncbi.nlm.nih.gov/clinvar/variation/1222632	rs9923854 is located in chr16 chromosome with position 56983090 which is in the gene CETP. This gene has the following description: The protein encoded by this gene is found in plasma, where it is involved in the transfer of cholesteryl ester from high density lipoprotein (HDL) to other lipoproteins. Defects in this gene are a cause of hyperalphalipoproteinemia 1 (HALP1). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2013] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs9923854has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1222632
rs1800777	chr16	56983407	CETP	The protein encoded by this gene is found in plasma, where it is involved in the transfer of cholesteryl ester from high density lipoprotein (HDL) to other lipoproteins. Defects in this gene are a cause of hyperalphalipoproteinemia 1 (HALP1). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2013]	Hyperalphalipoproteinemia 1|not provided	criteria provided, multiple submitters, no conflicts	Benign	319999	https://www.ncbi.nlm.nih.gov/clinvar/variation/319999	rs1800777 is located in chr16 chromosome with position 56983407 which is in the gene CETP. This gene has the following description: The protein encoded by this gene is found in plasma, where it is involved in the transfer of cholesteryl ester from high density lipoprotein (HDL) to other lipoproteins. Defects in this gene are a cause of hyperalphalipoproteinemia 1 (HALP1). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2013] This SNP can be associated with Hyperalphalipoproteinemia 1|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs1800777has the following disease references: MedGen:C3149462,OMIM:143470|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/319999
rs1800774	chr16	56981633	CETP	The protein encoded by this gene is found in plasma, where it is involved in the transfer of cholesteryl ester from high density lipoprotein (HDL) to other lipoproteins. Defects in this gene are a cause of hyperalphalipoproteinemia 1 (HALP1). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2013]	Hyperalphalipoproteinemia 1|not provided	criteria provided, multiple submitters, no conflicts	Benign	319995	https://www.ncbi.nlm.nih.gov/clinvar/variation/319995	rs1800774 is located in chr16 chromosome with position 56981633 which is in the gene CETP. This gene has the following description: The protein encoded by this gene is found in plasma, where it is involved in the transfer of cholesteryl ester from high density lipoprotein (HDL) to other lipoproteins. Defects in this gene are a cause of hyperalphalipoproteinemia 1 (HALP1). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2013] This SNP can be associated with Hyperalphalipoproteinemia 1|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs1800774has the following disease references: MedGen:C3149462,OMIM:143470|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/319995
rs289714	chr16	56973539	CETP	The protein encoded by this gene is found in plasma, where it is involved in the transfer of cholesteryl ester from high density lipoprotein (HDL) to other lipoproteins. Defects in this gene are a cause of hyperalphalipoproteinemia 1 (HALP1). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2013]	not provided	criteria provided, single submitter	Benign	1181918	https://www.ncbi.nlm.nih.gov/clinvar/variation/1181918	rs289714 is located in chr16 chromosome with position 56973539 which is in the gene CETP. This gene has the following description: The protein encoded by this gene is found in plasma, where it is involved in the transfer of cholesteryl ester from high density lipoprotein (HDL) to other lipoproteins. Defects in this gene are a cause of hyperalphalipoproteinemia 1 (HALP1). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2013] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs289714has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1181918
rs5883	chr16	56973441	CETP	The protein encoded by this gene is found in plasma, where it is involved in the transfer of cholesteryl ester from high density lipoprotein (HDL) to other lipoproteins. Defects in this gene are a cause of hyperalphalipoproteinemia 1 (HALP1). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2013]	Hyperalphalipoproteinemia 1|not provided	criteria provided, multiple submitters, no conflicts	Benign	319984	https://www.ncbi.nlm.nih.gov/clinvar/variation/319984	rs5883 is located in chr16 chromosome with position 56973441 which is in the gene CETP. This gene has the following description: The protein encoded by this gene is found in plasma, where it is involved in the transfer of cholesteryl ester from high density lipoprotein (HDL) to other lipoproteins. Defects in this gene are a cause of hyperalphalipoproteinemia 1 (HALP1). Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2013] This SNP can be associated with Hyperalphalipoproteinemia 1|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs5883has the following disease references: MedGen:C3149462,OMIM:143470|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/319984
rs9894254	chr17	80210880	SGSH	This gene encodes the enzyme sulfamidase; one of several enzymes involved in the lysosomal degradation of heparan sulfate. Mutations in this gene are associated with the lysosomal storage disease mucopolysaccaridosis IIIA, also known as Sanfilippo syndrome A, which results from impaired degradation of heparan sulfate. Transcripts of varying sizes have been reported but their biological validity has not been determined. [provided by RefSeq, Jun 2017]	Mucopolysaccharidosis, MPS-III-A|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign	92607	https://www.ncbi.nlm.nih.gov/clinvar/variation/92607	rs9894254 is located in chr17 chromosome with position 80210880 which is in the gene SGSH. This gene has the following description: This gene encodes the enzyme sulfamidase; one of several enzymes involved in the lysosomal degradation of heparan sulfate. Mutations in this gene are associated with the lysosomal storage disease mucopolysaccaridosis IIIA, also known as Sanfilippo syndrome A, which results from impaired degradation of heparan sulfate. Transcripts of varying sizes have been reported but their biological validity has not been determined. [provided by RefSeq, Jun 2017] This SNP can be associated with Mucopolysaccharidosis, MPS-III-A|not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs9894254has the following disease references: MONDO:MONDO:0009655,MedGen:C0086647,OMIM:252900,Orphanet:ORPHA79269,SNOMED CT:41572006|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/92607
rs5128	chr11	116832924	APOC3	This gene encodes a protein component of triglyceride (TG)-rich lipoproteins (TRLs) including very low density lipoproteins (VLDL), high density lipoproteins (HDL) and chylomicrons. The encoded protein plays a role in role in the metabolism of these TRLs through multiple modes. This protein has been shown to promote the secretion of VLDL1, inhibit lipoprotein lipase enzyme activity, and delay catabolism of TRL remnants. Mutations in this gene are associated with low plasma triglyceride levels and reduced risk of ischemic cardiovascular disease, and hyperalphalipoproteinemia, which is characterized by elevated levels of high density lipoprotein (HDL) and HDL cholesterol in human patients. This gene and other related genes comprise an apolipoprotein gene cluster on chromosome 11. [provided by RefSeq, Sep 2017]	not specified|not provided	criteria provided, single submitter	Benign	1250845	https://www.ncbi.nlm.nih.gov/clinvar/variation/1250845	rs5128 is located in chr11 chromosome with position 116832924 which is in the gene APOC3. This gene has the following description: This gene encodes a protein component of triglyceride (TG)-rich lipoproteins (TRLs) including very low density lipoproteins (VLDL), high density lipoproteins (HDL) and chylomicrons. The encoded protein plays a role in role in the metabolism of these TRLs through multiple modes. This protein has been shown to promote the secretion of VLDL1, inhibit lipoprotein lipase enzyme activity, and delay catabolism of TRL remnants. Mutations in this gene are associated with low plasma triglyceride levels and reduced risk of ischemic cardiovascular disease, and hyperalphalipoproteinemia, which is characterized by elevated levels of high density lipoprotein (HDL) and HDL cholesterol in human patients. This gene and other related genes comprise an apolipoprotein gene cluster on chromosome 11. [provided by RefSeq, Sep 2017] This SNP can be associated with not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs5128has the following disease references: MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1250845
rs2227956	chr6	31810495	HSPA1L	This gene encodes a 70kDa heat shock protein. In conjunction with other heat shock proteins, this protein stabilizes existing proteins against aggregation and mediates the folding of newly translated proteins in the cytosol and in organelles. The gene is located in the major histocompatibility complex class III region, in a cluster with two closely related genes which also encode isoforms of the 70kDa heat shock protein. [provided by RefSeq, Jul 2008]	Chronic obstructive pulmonary disease	no assertion criteria provided	association	694520	https://www.ncbi.nlm.nih.gov/clinvar/variation/694520	rs2227956 is located in chr6 chromosome with position 31810495 which is in the gene HSPA1L. This gene has the following description: This gene encodes a 70kDa heat shock protein. In conjunction with other heat shock proteins, this protein stabilizes existing proteins against aggregation and mediates the folding of newly translated proteins in the cytosol and in organelles. The gene is located in the major histocompatibility complex class III region, in a cluster with two closely related genes which also encode isoforms of the 70kDa heat shock protein. [provided by RefSeq, Jul 2008] This SNP can be associated with Chronic obstructive pulmonary disease. Those associations have association clinical significance and have review status: no assertion criteria provided. rs2227956has the following disease references: Human Phenotype Ontology:HP:0006510,MONDO:MONDO:0005002,MedGen:C0024117. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/694520
rs8083511	chr18	62361422	TNFRSF11A	The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptors can interact with various TRAF family proteins, through which this receptor induces the activation of NF-kappa B and MAPK8/JNK. This receptor and its ligand are important regulators of the interaction between T cells and dendritic cells. This receptor is also an essential mediator for osteoclast and lymph node development. Mutations at this locus have been associated with familial expansile osteolysis, autosomal recessive osteopetrosis, and Paget disease of bone. Alternatively spliced transcript variants have been described for this locus. [provided by RefSeq, Aug 2012]	not provided	criteria provided, single submitter	Benign	1278941	https://www.ncbi.nlm.nih.gov/clinvar/variation/1278941	rs8083511 is located in chr18 chromosome with position 62361422 which is in the gene TNFRSF11A. This gene has the following description: The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptors can interact with various TRAF family proteins, through which this receptor induces the activation of NF-kappa B and MAPK8/JNK. This receptor and its ligand are important regulators of the interaction between T cells and dendritic cells. This receptor is also an essential mediator for osteoclast and lymph node development. Mutations at this locus have been associated with familial expansile osteolysis, autosomal recessive osteopetrosis, and Paget disease of bone. Alternatively spliced transcript variants have been described for this locus. [provided by RefSeq, Aug 2012] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs8083511has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1278941
rs1063192	chr9	22003368	CDKN2B	This gene lies adjacent to the tumor suppressor gene CDKN2A in a region that is frequently mutated and deleted in a wide variety of tumors. This gene encodes a cyclin-dependent kinase inhibitor, which forms a complex with CDK4 or CDK6, and prevents the activation of the CDK kinases, thus the encoded protein functions as a cell growth regulator that controls cell cycle G1 progression. The expression of this gene was found to be dramatically induced by TGF beta, which suggested its role in the TGF beta induced growth inhibition. Two alternatively spliced transcript variants of this gene, which encode distinct proteins, have been reported. [provided by RefSeq, Jul 2008]	Three Vessel Coronary Disease	no assertion criteria provided	protective	812639	https://www.ncbi.nlm.nih.gov/clinvar/variation/812639	rs1063192 is located in chr9 chromosome with position 22003368 which is in the gene CDKN2B. This gene has the following description: This gene lies adjacent to the tumor suppressor gene CDKN2A in a region that is frequently mutated and deleted in a wide variety of tumors. This gene encodes a cyclin-dependent kinase inhibitor, which forms a complex with CDK4 or CDK6, and prevents the activation of the CDK kinases, thus the encoded protein functions as a cell growth regulator that controls cell cycle G1 progression. The expression of this gene was found to be dramatically induced by TGF beta, which suggested its role in the TGF beta induced growth inhibition. Two alternatively spliced transcript variants of this gene, which encode distinct proteins, have been reported. [provided by RefSeq, Jul 2008] This SNP can be associated with Three Vessel Coronary Disease. Those associations have protective clinical significance and have review status: no assertion criteria provided. rs1063192has the following disease references: MedGen:C3272265. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/812639
rs1042663	chr6	31937353	C2	Component C2 is a serum glycoprotein that functions as part of the classical pathway of the complement system. Activated C1 cleaves C2 into C2a and C2b. The serine proteinase C2a then combines with complement factor 4b to create the C3 or C5 convertase. Deficiency of C2 has been reported to associated with certain autoimmune diseases and SNPs in this gene have been associated with altered susceptibility to age-related macular degeneration. This gene localizes within the class III region of the MHC on the short arm of chromosome 6. Alternative splicing results in multiple transcript variants encoding distinct isoforms. Additional transcript variants have been described in publications but their full-length sequence has not been determined.[provided by RefSeq, Mar 2009]	Complement component 2 deficiency|Age related macular degeneration 14|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign	356245	https://www.ncbi.nlm.nih.gov/clinvar/variation/356245	rs1042663 is located in chr6 chromosome with position 31937353 which is in the gene C2. This gene has the following description: Component C2 is a serum glycoprotein that functions as part of the classical pathway of the complement system. Activated C1 cleaves C2 into C2a and C2b. The serine proteinase C2a then combines with complement factor 4b to create the C3 or C5 convertase. Deficiency of C2 has been reported to associated with certain autoimmune diseases and SNPs in this gene have been associated with altered susceptibility to age-related macular degeneration. This gene localizes within the class III region of the MHC on the short arm of chromosome 6. Alternative splicing results in multiple transcript variants encoding distinct isoforms. Additional transcript variants have been described in publications but their full-length sequence has not been determined.[provided by RefSeq, Mar 2009] This SNP can be associated with Complement component 2 deficiency|Age related macular degeneration 14|not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs1042663has the following disease references: MONDO:MONDO:0009006,MedGen:C3150275,OMIM:217000|MONDO:MONDO:0014207,MedGen:C3809653,OMIM:615489|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/356245
rs1800392	chr8	31116441	WRN	This gene encodes a member of the RecQ subfamily of DNA helicase proteins. The encoded nuclear protein is important in the maintenance of genome stability and plays a role in DNA repair, replication, transcription and telomere maintenance. This protein contains a N-terminal 3&apos; to 5&apos; exonuclease domain, an ATP-dependent helicase domain and RQC (RecQ helicase conserved region) domain in its central region, and a C-terminal HRDC (helicase RNase D C-terminal) domain and nuclear localization signal. Defects in this gene are the cause of Werner syndrome, an autosomal recessive disorder characterized by accelerated aging and an elevated risk for certain cancers. [provided by RefSeq, Aug 2017]	Werner syndrome|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign	130758	https://www.ncbi.nlm.nih.gov/clinvar/variation/130758	rs1800392 is located in chr8 chromosome with position 31116441 which is in the gene WRN. This gene has the following description: This gene encodes a member of the RecQ subfamily of DNA helicase proteins. The encoded nuclear protein is important in the maintenance of genome stability and plays a role in DNA repair, replication, transcription and telomere maintenance. This protein contains a N-terminal 3&apos; to 5&apos; exonuclease domain, an ATP-dependent helicase domain and RQC (RecQ helicase conserved region) domain in its central region, and a C-terminal HRDC (helicase RNase D C-terminal) domain and nuclear localization signal. Defects in this gene are the cause of Werner syndrome, an autosomal recessive disorder characterized by accelerated aging and an elevated risk for certain cancers. [provided by RefSeq, Aug 2017] This SNP can be associated with Werner syndrome|not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs1800392has the following disease references: MONDO:MONDO:0010196,MedGen:C0043119,OMIM:277700,Orphanet:ORPHA902,SNOMED CT:51626007|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/130758
rs982764	chr10	89010241	FAS	The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor contains a death domain. It has been shown to play a central role in the physiological regulation of programmed cell death, and has been implicated in the pathogenesis of various malignancies and diseases of the immune system. The interaction of this receptor with its ligand allows the formation of a death-inducing signaling complex that includes Fas-associated death domain protein (FADD), caspase 8, and caspase 10. The autoproteolytic processing of the caspases in the complex triggers a downstream caspase cascade, and leads to apoptosis. This receptor has been also shown to activate NF-kappaB, MAPK3/ERK1, and MAPK8/JNK, and is found to be involved in transducing the proliferating signals in normal diploid fibroblast and T cells. Several alternatively spliced transcript variants have been described, some of which are candidates for nonsense-mediated mRNA decay (NMD). The isoforms lacking the transmembrane domain may negatively regulate the apoptosis mediated by the full length isoform. [provided by RefSeq, Mar 2011]	not provided	criteria provided, single submitter	Benign	1290654	https://www.ncbi.nlm.nih.gov/clinvar/variation/1290654	rs982764 is located in chr10 chromosome with position 89010241 which is in the gene FAS. This gene has the following description: The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor contains a death domain. It has been shown to play a central role in the physiological regulation of programmed cell death, and has been implicated in the pathogenesis of various malignancies and diseases of the immune system. The interaction of this receptor with its ligand allows the formation of a death-inducing signaling complex that includes Fas-associated death domain protein (FADD), caspase 8, and caspase 10. The autoproteolytic processing of the caspases in the complex triggers a downstream caspase cascade, and leads to apoptosis. This receptor has been also shown to activate NF-kappaB, MAPK3/ERK1, and MAPK8/JNK, and is found to be involved in transducing the proliferating signals in normal diploid fibroblast and T cells. Several alternatively spliced transcript variants have been described, some of which are candidates for nonsense-mediated mRNA decay (NMD). The isoforms lacking the transmembrane domain may negatively regulate the apoptosis mediated by the full length isoform. [provided by RefSeq, Mar 2011] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs982764has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1290654
rs1805097	chr13	109782884	IRS2	This gene encodes the insulin receptor substrate 2, a cytoplasmic signaling molecule that mediates effects of insulin, insulin-like growth factor 1, and other cytokines by acting as a molecular adaptor between diverse receptor tyrosine kinases and downstream effectors. The product of this gene is phosphorylated by the insulin receptor tyrosine kinase upon receptor stimulation, as well as by an interleukin 4 receptor-associated kinase in response to IL4 treatment. [provided by RefSeq, Jul 2008]	DIABETES, TYPE II, SUSCEPTIBILITY TO	no assertion criteria provided	risk factor	8820	https://www.ncbi.nlm.nih.gov/clinvar/variation/8820	
rs659366	chr11	73983709	UCP2	Mitochondrial uncoupling proteins (UCP) are members of the larger family of mitochondrial anion carrier proteins (MACP). UCPs separate oxidative phosphorylation from ATP synthesis with energy dissipated as heat, also referred to as the mitochondrial proton leak. UCPs facilitate the transfer of anions from the inner to the outer mitochondrial membrane and the return transfer of protons from the outer to the inner mitochondrial membrane. They also reduce the mitochondrial membrane potential in mammalian cells. Tissue specificity occurs for the different UCPs and the exact methods of how UCPs transfer H+/OH- are not known. UCPs contain the three homologous protein domains of MACPs. This gene is expressed in many tissues, with the greatest expression in skeletal muscle. It is thought to play a role in nonshivering thermogenesis, obesity and diabetes. Chromosomal order is 5&apos;-UCP3-UCP2-3&apos;. [provided by RefSeq, Jul 2008]	Body mass index quantitative trait locus 4	no assertion criteria provided	risk factor	7865	https://www.ncbi.nlm.nih.gov/clinvar/variation/7865	rs659366 is located in chr11 chromosome with position 73983709 which is in the gene UCP2. This gene has the following description: Mitochondrial uncoupling proteins (UCP) are members of the larger family of mitochondrial anion carrier proteins (MACP). UCPs separate oxidative phosphorylation from ATP synthesis with energy dissipated as heat, also referred to as the mitochondrial proton leak. UCPs facilitate the transfer of anions from the inner to the outer mitochondrial membrane and the return transfer of protons from the outer to the inner mitochondrial membrane. They also reduce the mitochondrial membrane potential in mammalian cells. Tissue specificity occurs for the different UCPs and the exact methods of how UCPs transfer H+/OH- are not known. UCPs contain the three homologous protein domains of MACPs. This gene is expressed in many tissues, with the greatest expression in skeletal muscle. It is thought to play a role in nonshivering thermogenesis, obesity and diabetes. Chromosomal order is 5&apos;-UCP3-UCP2-3&apos;. [provided by RefSeq, Jul 2008] This SNP can be associated with Body mass index quantitative trait locus 4. Those associations have risk factor clinical significance and have review status: no assertion criteria provided. rs659366has the following disease references: MedGen:C1843898,OMIM:607447. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/7865
rs10518725	chr15	53523555	WDR72	This gene encodes a protein with eight WD-40 repeats. Mutations in this gene have been associated with amelogenesis imperfecta hypomaturation type 2A3. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2013]	not provided	criteria provided, single submitter	Benign	1225957	https://www.ncbi.nlm.nih.gov/clinvar/variation/1225957	rs10518725 is located in chr15 chromosome with position 53523555 which is in the gene WDR72. This gene has the following description: This gene encodes a protein with eight WD-40 repeats. Mutations in this gene have been associated with amelogenesis imperfecta hypomaturation type 2A3. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2013] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs10518725has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1225957
rs2072454	chr7	55146655	EGFR	The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). [provided by RefSeq, Jul 2020]	Inflammatory skin and bowel disease, neonatal, 2|EGFR-related lung cancer|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign	259680	https://www.ncbi.nlm.nih.gov/clinvar/variation/259680	rs2072454 is located in chr7 chromosome with position 55146655 which is in the gene EGFR. This gene has the following description: The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). [provided by RefSeq, Jul 2020] This SNP can be associated with Inflammatory skin and bowel disease, neonatal, 2|EGFR-related lung cancer|not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs2072454has the following disease references: MONDO:MONDO:0014481,MedGen:C4015130,OMIM:616069|MedGen:CN130014|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/259680
rs2293347	chr7	55201223	EGFR	The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). [provided by RefSeq, Jul 2020]	EGFR-related lung cancer|not specified|not provided	criteria provided, multiple submitters, no conflicts	Benign	259679	https://www.ncbi.nlm.nih.gov/clinvar/variation/259679	rs2293347 is located in chr7 chromosome with position 55201223 which is in the gene EGFR. This gene has the following description: The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). [provided by RefSeq, Jul 2020] This SNP can be associated with EGFR-related lung cancer|not specified|not provided. Those associations have Benign clinical significance and have review status: criteria provided, multiple submitters, no conflicts. rs2293347has the following disease references: MedGen:CN130014|MedGen:CN169374|MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/259679
rs884225	chr7	55206391	EGFR	The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). [provided by RefSeq, Jul 2020]	not provided	criteria provided, single submitter	Benign	1253347	https://www.ncbi.nlm.nih.gov/clinvar/variation/1253347	rs884225 is located in chr7 chromosome with position 55206391 which is in the gene EGFR. This gene has the following description: The protein encoded by this gene is a transmembrane glycoprotein that is a member of the protein kinase superfamily. This protein is a receptor for members of the epidermal growth factor family. EGFR is a cell surface protein that binds to epidermal growth factor, thus inducing receptor dimerization and tyrosine autophosphorylation leading to cell proliferation. Mutations in this gene are associated with lung cancer. EGFR is a component of the cytokine storm which contributes to a severe form of Coronavirus Disease 2019 (COVID-19) resulting from infection with severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). [provided by RefSeq, Jul 2020] This SNP can be associated with not provided. Those associations have Benign clinical significance and have review status: criteria provided, single submitter. rs884225has the following disease references: MedGen:CN517202. Source: https://www.ncbi.nlm.nih.gov/clinvar/variation/1253347
